VIN,BRAND,MODEL,COLOR,ENGINE,TRANSMISSION,MPG,DEALER_ID,DATE_SOLD_TO_DEALER,MANUFACTURER
8E9Y6W1K0U0H9K4K3,Jaguar,XJ,Fuscia,9,firmware,30,401,2017-10-20,Watsica LLC
8Y7U7B4S8Z9T5Q0W9,Mercedes-Benz,SLR McLaren,Mauv,4,Grass-roots,17,402,2017-09-18,"Mosciski, Hettinger and Bogisich"
3C2U4Z6X7H3G1R4M4,Honda,Civic,Indigo,2,Focused,38,403,2017-09-17,Jaskolski Group
8R0L9T4T6S5Q4S0G6,Toyota,Celica,Fuscia,4,time-frame,25,404,2017-07-11,"Hahn, Hintz and Towne"
0N2A0J3B6O5T1X3E0,Chevrolet,Cobalt,Puce,9,User-centric,36,405,2017-03-28,Kiehn Group
8H8O9X9B2W3O2X2H0,Kia,Sorento,Violet,10,zero defect,11,406,2018-01-07,"Boyer, Nader and Wintheiser"
7P5H7B2I0T0V4R4L2,Suzuki,Reno,Green,14,clear-thinking,31,407,2017-06-13,Hills Inc
1T7U8G0H1U1Y9E8V5,Saturn,VUE,Violet,7,zero tolerance,28,408,2017-07-26,Bailey-Ruecker
9Y8K2C6T8Q8B0K8W8,Mitsubishi,Eclipse,Red,2,coherent,45,409,2017-06-04,Paucek-Grimes
0E9V5D7G3L1N5H6V5,Mazda,Miata MX-5,Fuscia,10,Public-key,34,410,2017-04-22,Schmitt LLC
7P9T2E4K1N0Y6E1G9,Lamborghini,Gallardo,Orange,7,contextually-based,12,411,2017-07-02,Hodkiewicz LLC
1B5D6K1B4F6C1I6Q1,Mazda,Tribute,Yellow,13,database,36,412,2018-03-13,Durgan Group
9E3G2V2N3X0G3D9U4,Chevrolet,Camaro,Pink,9,logistical,24,413,2017-10-16,"Daniel, Collins and Harber"
2B8Y6Y6N8G7V9Q6E6,Aston Martin,V8 Vantage,Violet,13,ability,26,414,2018-03-04,"Strosin, Jerde and Anderson"
6K6O6T2L5W3C5O1N5,Chevrolet,Astro,Crimson,3,Reverse-engineered,50,415,2017-09-15,"Kessler, Koelpin and Hammes"
7H0H7A7P7W3L1U8N5,Dodge,Ram Van 3500,Purple,13,architecture,48,416,2017-05-12,"Reynolds, Weber and Schultz"
8S7W0G8G9S5U2K9Q4,Acura,Vigor,Goldenrod,12,Graphic Interface,10,417,2018-02-25,Weber-Cronin
7H1W2A3R0B9T5H8T7,Audi,4000s,Red,6,solution-oriented,39,418,2017-03-29,"Hudson, Bashirian and Daniel"
3I7D3T7W1M4R7F1A5,Pontiac,Firefly,Khaki,8,asymmetric,50,419,2017-05-03,"Lueilwitz, Mertz and Pfeffer"
2I7V7D6U1L8L5J5O0,Chevrolet,Express 1500,Goldenrod,15,executive,38,420,2017-11-16,Upton Inc
4T6C2N0L1G8I2E4M3,Mercury,Cougar,Puce,10,object-oriented,48,421,2017-08-10,"Effertz, Baumbach and Hettinger"
8L2D6W2B6Y8M3V2S2,Suzuki,SJ,Purple,4,database,11,422,2017-08-20,"Monahan, Hauck and Effertz"
7N9Z7G8B0S5I8A6N1,Buick,Century,Purple,13,fault-tolerant,45,423,2017-06-16,Rau LLC
9H7Y8F4R2U5J5J8T2,Toyota,4Runner,Orange,7,productivity,14,424,2017-08-05,Connelly Group
1A4G9C0E0U4N6E7M9,Saturn,VUE,Fuscia,3,open system,16,425,2017-06-24,O'Hara Group
6Y4X4L2J3J4M5O3M0,BMW,530,Red,1,content-based,17,426,2018-01-13,Hamill Inc
5R7F4R7G6N1T0H9A8,Dodge,Nitro,Puce,7,utilisation,48,427,2017-09-17,Spinka-Tromp
7L4L8E2P6T6D8Y8C3,Oldsmobile,Aurora,Maroon,5,tangible,27,428,2017-06-08,O'Keefe and Sons
4E5J3T4P9S1R3J4D0,Ford,Freestar,Indigo,7,superstructure,29,429,2017-06-02,"Barton, Flatley and Bins"
2R9O0R4K0D4S1F5L6,Land Rover,LR3,Yellow,7,Open-source,37,430,2017-09-16,Mann and Sons
8Y3V2O5Z7J7V9E6A8,Mercury,Tracer,Purple,6,internet solution,44,431,2017-12-07,Stroman Inc
4V5Z2M9T5G3K4Q9S0,Dodge,Dakota,Aquamarine,16,model,35,432,2017-10-02,"Green, Labadie and Hirthe"
9L6G4K5Y1O7V9Y7Z7,BMW,760,Indigo,13,help-desk,17,433,2017-07-24,Reilly-Hermann
2Y6K5O8W8A0N0M3Z7,Chevrolet,S10,Khaki,6,heuristic,38,434,2017-06-22,Anderson-Jacobson
1X1W2L9E0W7S8T5E4,Lexus,SC,Mauv,6,Phased,16,435,2017-05-25,Mueller and Sons
9A9Z9Z3C0X5S9W1O3,Ford,LTD Crown Victoria,Violet,5,Virtual,50,436,2017-07-16,Oberbrunner-Simonis
6C0M8R5G5A5N5D3T5,Toyota,Tacoma,Orange,16,circuit,44,437,2017-05-25,Zemlak-Schmeler
5Q3D8T6B3O6O7O1B8,Buick,Century,Mauv,8,mobile,46,438,2017-12-26,Fisher LLC
4R0K6Q2T5R3O0C0V3,Acura,TSX,Khaki,5,time-frame,16,439,2018-01-01,Cassin and Sons
7K9G1X4D0Q3Q6E2Y2,Mitsubishi,Montero Sport,Fuscia,12,background,48,440,2017-12-11,Grady LLC
7D8Q3Q0A4F4P6T9X3,BMW,M6,Teal,6,dedicated,44,441,2017-05-17,Kuvalis LLC
1L9L3Y0W0D8S5V5F3,Chevrolet,Monte Carlo,Red,5,De-engineered,49,442,2018-01-18,Hirthe-Ratke
8G9J3W8N5B4Q0U8R9,Acura,RL,Pink,10,help-desk,35,443,2017-04-07,Schmidt Group
8L1B6Z1Q9O0N5A9I0,Ferrari,599 GTB Fiorano,Yellow,4,Inverse,28,444,2017-07-06,Schroeder Inc
9Q1M2H9A9F0Z2X1X9,Lamborghini,Murciélago,Aquamarine,2,help-desk,33,445,2017-05-02,Rohan-Nienow
8U7P6U8T2V5I1F1B9,Hyundai,Genesis,Goldenrod,12,national,33,446,2018-03-11,Thiel Inc
7O2Y6R4U0M3J7B1P6,Lotus,Elise,Teal,6,heuristic,36,447,2018-03-12,Dietrich-Wisozk
8Y8D2K7X5E1B0R3V2,GMC,Savana,Fuscia,6,monitoring,15,448,2017-05-27,Rolfson LLC
5I0K5W6D6L3O6L7G3,Mercury,Topaz,Fuscia,10,software,46,449,2017-04-29,Collins-Armstrong
0C3A7W9V7R3S6O6S7,Ford,Aerostar,Crimson,6,Exclusive,29,450,2017-05-22,Rippin-Zemlak
9Z1W9S1O4N7J0Y0W6,Mitsubishi,Eclipse,Crimson,7,impactful,30,451,2017-08-07,"Wilkinson, Lang and Heidenreich"
4N3Q8D3L9B2D6L2K2,Lincoln,Town Car,Red,11,full-range,22,452,2017-08-24,Fisher Group
7X7V0E4D5S5H8X7W6,Saturn,VUE,Orange,7,impactful,28,453,2017-05-08,Dicki and Sons
6T2Z1I7N8U3T1D8Y7,Pontiac,Firefly,Mauv,3,Phased,14,454,2018-03-23,"Kub, Roberts and Crona"
7V3T2D2Q3M1U1T5S5,Suzuki,Equator,Orange,5,emulation,50,455,2018-01-30,"Monahan, Hyatt and Spencer"
9C4Q2V1U5P6S6Q0M0,Subaru,Impreza,Goldenrod,5,clear-thinking,43,456,2017-09-25,MacGyver-Bauch
8Q8P2W2K3F0I9S1D5,Maybach,57,Maroon,7,moratorium,25,457,2017-10-23,"Kub, Runte and Waelchi"
0N4P4U0W5J4Q9O6U2,Mercedes-Benz,CL-Class,Red,11,executive,20,458,2018-02-06,Durgan-Davis
4P8U6A5Z7K0G5F9M8,Cadillac,CTS,Yellow,8,Re-contextualized,32,459,2017-07-11,Schmeler Group
2D2A0Y0G9O3Y7F7P5,Mitsubishi,Challenger,Violet,3,object-oriented,27,460,2017-09-27,"Muller, Sipes and Lesch"
2E0V2E7J7A2E4G4K2,Ford,Econoline E150,Mauv,13,Reactive,36,461,2017-11-25,"Schneider, Jones and Ortiz"
4Q3Y1F4M7W1I8O3T2,Ford,Windstar,Turquoise,9,moratorium,39,462,2017-07-09,Wisozk Inc
4A7L0W6R2D8K6K0J6,Ford,E-Series,Puce,6,paradigm,36,463,2017-12-08,"Rolfson, Barrows and Schmidt"
5S4G9Q5J2J5T0C0R3,Hyundai,Tucson,Violet,3,parallelism,18,464,2018-03-22,"Runolfsdottir, Pfeffer and Buckridge"
2H8O9B7Z2E8U1H2Z7,Geo,Prizm,Puce,14,tertiary,26,465,2017-08-07,"Upton, Kihn and Schmeler"
9C6A0U2F9O7V9B9G7,Mazda,MPV,Turquoise,2,success,10,466,2017-12-06,"Upton, Schaefer and Lebsack"
4B1B4E3F7O6T5U0X9,Mitsubishi,Mirage,Indigo,11,Decentralized,35,467,2017-11-20,"Metz, Torp and Kuhn"
7J8I9U6D6N8S5X7J3,Kia,Rio,Violet,9,fault-tolerant,48,468,2017-04-29,Botsford-Schmeler
0E5J0B9U6L5P8N7S3,Chevrolet,Corvette,Orange,4,maximized,28,469,2017-04-21,Nolan-Hickle
8N1U8C7D3B0I8W2M0,Mitsubishi,Endeavor,Violet,8,Cross-platform,45,470,2017-12-16,Heaney and Sons
7H5W7U2P5B4S5Z8I2,Lexus,LS,Goldenrod,12,multi-tasking,42,471,2017-05-26,Hermann-Ritchie
3Z4A6Q5P9J6A1A7V5,Maserati,Quattroporte,Yellow,14,algorithm,44,472,2017-11-07,"Schiller, Swift and Thompson"
6J0P9A0U8O3S2Z5N7,Chevrolet,Express,Maroon,14,hub,44,473,2017-05-01,Harber LLC
5U3O0O7O4C1T8R9S6,Dodge,Ram Van 2500,Maroon,12,non-volatile,32,474,2018-03-23,Beahan LLC
9Q5I1P6D3S0J0Y5F0,Ford,GT500,Goldenrod,14,monitoring,39,475,2017-07-01,"Abernathy, Bergstrom and Gusikowski"
4F4K5M2E0R9M6O8Z7,Hyundai,Scoupe,Mauv,14,Synergized,20,476,2018-01-20,Jones-Kuhn
8R8Z3G2V4E0K5I9N1,Chevrolet,Venture,Maroon,15,service-desk,42,477,2018-02-02,Carter Inc
1P6X5U7W9Q3I0C2N1,Toyota,Celica,Pink,1,Horizontal,27,478,2017-09-14,"Moen, Ondricka and McKenzie"
0P2O7N5C3E3U4M2V3,Jaguar,S-Type,Red,5,Digitized,46,479,2018-02-04,Jerde and Sons
1J7D0J8Z9V9T2V6Q8,Toyota,Truck Xtracab SR5,Puce,12,coherent,45,480,2017-06-04,Wiegand-Rau
9M9O9F0V9W4P5C6H5,Maserati,GranTurismo,Mauv,6,encoding,25,481,2017-06-10,"Johnson, Johns and Collier"
4G4C9X6H9W9H7Z8I3,Chrysler,Concorde,Crimson,13,5th generation,41,482,2018-03-10,Connelly-Greenfelder
8S2I1F1D3Q0W7W5T0,Mazda,MPV,Puce,13,Quality-focused,12,483,2017-11-17,Baumbach Inc
0C9Y1B6M5X0L2Q8D6,Chevrolet,Corvette,Pink,6,value-added,24,484,2017-12-29,Witting-Pfeffer
2T7X2B2L6I8O0W4G2,Mitsubishi,Outlander Sport,Teal,11,contingency,45,485,2017-07-01,Harber-Koss
6I4W5X3N0U2N9T9M4,Mercedes-Benz,S-Class,Yellow,15,eco-centric,50,486,2017-05-18,Watsica and Sons
7M8J1I6S5B2M2W0F1,Dodge,D350 Club,Purple,13,pricing structure,34,487,2018-03-08,Koss-Oberbrunner
4X8A1P2H4W3F2K1Y4,Chevrolet,Corvette,Fuscia,8,Adaptive,45,488,2017-04-17,Breitenberg-Jast
6K4L5I4H8C1H2G2O8,Mazda,Familia,Orange,2,Compatible,18,489,2017-04-24,Lowe LLC
9L9G9G9Z0I4T3N4H6,Mazda,MX-5,Violet,14,framework,46,490,2017-05-23,Schimmel-Goodwin
4L9V9Q0N4E0C9T3S7,Kia,Sedona,Aquamarine,4,6th generation,12,491,2018-03-16,Farrell-Mann
1K5I6Y4C7J4H6D6K6,Mazda,B-Series,Aquamarine,12,Synergistic,32,492,2018-03-12,"Hyatt, Abbott and Raynor"
6P0V1J3S6H9X6J2N8,Volkswagen,GTI,Blue,1,Universal,46,493,2018-02-16,Feil-McClure
9Y3C5V6M1K1D1R4C2,Isuzu,Rodeo,Green,7,time-frame,23,494,2017-07-15,"Shields, Kunze and Trantow"
8V6C6R1W6Z4B3O3L9,GMC,Rally Wagon 2500,Mauv,5,6th generation,43,495,2017-06-21,Schoen Inc
6U3N0T0O0P4B0W6Z8,GMC,Yukon XL 2500,Puce,9,Polarised,28,496,2017-07-12,"Wintheiser, Braun and Reichel"
5P2W2O3I3B1B7O1B1,Kia,Sephia,Purple,13,encryption,36,497,2017-11-25,"Barton, Paucek and Krajcik"
4W0L0A7U7N6D3Q3S5,BMW,3 Series,Puce,8,contingency,40,498,2017-09-09,"Frami, Gorczany and Gottlieb"
7C9B8T0B7C5C8R7F6,Mitsubishi,Eclipse,Green,2,emulation,46,499,2017-09-24,"Smith, Lakin and Stamm"
5X5C5J8T5Q9G6G0T5,Jeep,Grand Cherokee,Violet,9,Programmable,16,500,2017-08-15,Upton-Wolf
6L6S0C0E3K0E9W2D6,Dodge,Intrepid,Red,15,Visionary,23,501,2017-12-13,Frami Group
1F5K3Z5F4L0I9Q0K7,Ford,EXP,Purple,8,user-facing,22,502,2017-03-31,"King, Reichel and Casper"
8U5A6D9K5M1H5K6J5,Toyota,Camry,Red,13,Secured,29,503,2017-11-28,McClure-Hilll
6E1V8M4Z7R7Y5F4N5,Mercedes-Benz,GLK-Class,Khaki,3,leverage,30,504,2018-03-01,"Mitchell, Beer and Zulauf"
5Z2E5H6K1J8R1L6G3,Buick,Century,Aquamarine,12,neural-net,49,505,2017-05-20,Johnson and Sons
6C6F5J9R1Y4M6K5H4,Infiniti,QX,Violet,15,Mandatory,18,506,2018-01-21,"Greenholt, Kling and Heidenreich"
6M7U2Q7Q4A8Z2V4H7,Dodge,Caravan,Red,6,Networked,22,507,2018-01-30,Jast-Little
2M3R0Y5N9Y0G1Y4Z9,Chevrolet,Avalanche,Fuscia,13,Customer-focused,45,508,2017-12-26,"Bernhard, Stroman and Hoeger"
9I2M3O6X8K5O6C1Z7,Chevrolet,Express 3500,Red,10,Distributed,14,509,2017-12-15,Weissnat LLC
6W3N0Z3E9K9W3P5V7,Buick,Lucerne,Khaki,8,complexity,12,510,2018-02-20,Dietrich Inc
0U4Y5B9P9X8O3H6U0,Mercedes-Benz,CLS-Class,Green,12,process improvement,19,511,2017-09-02,Littel-Runte
8F7P7U8E1P9K5G2C3,Infiniti,EX,Indigo,2,Face to face,33,512,2017-07-27,Simonis-Marks
7R8A3O4G1D3W0H7Z0,Ford,F250,Puce,5,directional,41,513,2017-10-27,Gislason-Walter
4Z0X8E6T7I4U9T7K4,Geo,Tracker,Red,3,Versatile,24,514,2017-05-04,Aufderhar-Cruickshank
6O1F6U5Q7M5P9L2P4,Maserati,Spyder,Pink,3,protocol,25,515,2017-07-11,Ritchie-Conn
3G2F1E5G5A4B5L5R2,Mercedes-Benz,C-Class,Blue,11,Mandatory,17,516,2017-10-22,"Crona, Hagenes and Hodkiewicz"
1O5D3L0P0Y7F3T5Z7,Jaguar,XJ Series,Turquoise,5,reciprocal,35,517,2017-10-24,"Runte, Haley and Denesik"
2X0O1L0A2Q8O5T3V4,Hyundai,Elantra,Purple,12,Streamlined,37,518,2018-01-10,Jacobs and Sons
6X4C1R8S0V5T5G2S7,Subaru,XT,Red,7,Re-contextualized,25,519,2017-09-09,Lakin-Volkman
5G8U0P2R0V3F2D6T6,Lincoln,Navigator,Fuscia,13,Vision-oriented,21,520,2017-11-04,"Williamson, O'Conner and Armstrong"
7D0K8W8S4S3W3K5W9,Kia,Sorento,Goldenrod,6,Reactive,36,521,2017-06-07,Oberbrunner Group
6K4G3Y7C8H4T7L1W6,Audi,S4,Green,1,Inverse,22,522,2018-03-22,Brekke LLC
3M0D3H6R6C3I5E3A8,Ford,E350,Khaki,12,superstructure,42,523,2017-08-15,"Konopelski, Sanford and Considine"
6O0F4H0A1D6W9V9T8,Honda,Odyssey,Green,14,leverage,29,524,2017-07-20,Donnelly and Sons
3U1F3A3D4L4J7B6J5,Land Rover,Range Rover Sport,Teal,1,projection,25,525,2018-01-14,Ziemann-Heaney
8T4S6R1X1D5B2R3K8,Dodge,Ram Wagon B350,Crimson,15,conglomeration,47,526,2017-09-21,Braun Group
9O6P3A8F8X6I7V7S3,Chevrolet,Uplander,Goldenrod,8,info-mediaries,40,527,2017-10-14,Grady and Sons
5S2A4U1K6Q5O6L5I5,Mitsubishi,Precis,Puce,7,Synergistic,18,528,2018-03-23,Kozey-Hayes
2M7H9X1U4P6D7Q9L4,Buick,Park Avenue,Turquoise,7,Customer-focused,48,529,2017-10-31,Renner-Sanford
6T2V6B5Z5O1T0D1E7,Volkswagen,Touareg 2,Violet,2,complexity,37,530,2017-04-01,"Schultz, Hahn and Denesik"
4G4N2A1P1E3D9U3F3,Chevrolet,Colorado,Green,8,Self-enabling,17,531,2018-01-08,"Hartmann, Abernathy and Gerhold"
7C1O9P8I2J4O8J0K0,Pontiac,Firebird,Orange,8,transitional,19,532,2017-09-28,White-Vandervort
1Q2E1Q6K4Z6G4Q9F6,Volkswagen,GTI,Purple,15,circuit,31,533,2018-03-11,Runolfsdottir Group
7U9J2P9X3A5E9R4G5,Hyundai,Sonata,Purple,3,core,46,534,2017-07-23,Bogisich LLC
7D5U8L5T1W6N6T3R6,Ford,Econoline E150,Khaki,1,Profound,27,535,2017-05-14,"Monahan, Kuphal and Gislason"
1O2M5O0G0E6U3V3L8,Jaguar,X-Type,Crimson,4,monitoring,33,536,2017-10-24,O'Hara-Quigley
2M6O5Q7T1N3O7Z4D9,Jeep,Compass,Green,5,Automated,44,537,2018-02-08,Will-Cremin
2Y9V1U6Y3R2Q6Z3F1,Chevrolet,Lumina,Goldenrod,14,concept,18,538,2017-09-07,Jakubowski-Runte
2A7U2N4C7O0F1R3L6,Toyota,Avalon,Pink,1,Virtual,46,539,2017-12-15,Ledner Inc
2T7R3E0B5D5K7I5O5,Porsche,Boxster,Khaki,12,Fundamental,30,540,2018-01-12,Veum and Sons
4K6D8M3Y9R0E0P7J3,Audi,A8,Red,13,Extended,22,541,2017-07-08,"Fisher, Hoppe and Zieme"
4J9F4Y8Y5I7E8Z2W6,Land Rover,Discovery,Puce,8,reciprocal,18,542,2017-08-05,"Schultz, Jones and Boyle"
9Y8Y2B4P3I1M2J6O7,Pontiac,Bonneville,Orange,6,Enhanced,30,543,2018-01-25,Kulas-Kuvalis
1K9Z3Q9A7Y9E1B6W3,Land Rover,Range Rover,Goldenrod,11,Visionary,33,544,2018-02-21,Halvorson-Klocko
3P3T1R4D5M5Y7V7U0,Buick,Park Avenue,Puce,16,static,24,545,2017-12-18,Flatley-Kunde
1W1S3I2L9G8B1J3N6,Oldsmobile,Bravada,Green,3,Synergistic,38,546,2018-01-26,Hills Group
9Q5D2X7R1Y8B9T1O7,Audi,S4,Crimson,10,framework,16,547,2017-10-14,Lockman and Sons
8C7Q3O2W9V9V3J3K8,Pontiac,Sunbird,Puce,5,content-based,26,548,2017-08-25,"Miller, Kuhn and Tillman"
4S5H2A8E8R3E1Z3W6,Volkswagen,Jetta,Teal,8,multi-state,32,549,2017-12-02,Auer-Crist
2X6C7A2E0L0F8G5O8,Hummer,H1,Teal,1,Profit-focused,13,550,2017-09-29,"Medhurst, Effertz and Grant"
3F6Y6J4M6R3Y1C5N7,Audi,A6,Green,15,User-friendly,11,551,2017-05-05,Altenwerth-Wisoky
2P4C5A2S2M3M5P8L7,Ford,F150,Pink,9,explicit,22,552,2017-08-06,Conroy-Kub
1J6M3S9H9U4R1N9Z8,Mercedes-Benz,400E,Crimson,2,product,18,553,2017-05-20,"Kuhn, Jaskolski and Flatley"
9Q9R4X2K3D5R7E4O9,Volkswagen,Golf,Goldenrod,14,synergy,28,554,2017-04-17,Schuster LLC
7O3M0R9D9O1R8U7G8,Ford,Mustang,Turquoise,14,3rd generation,22,555,2017-10-26,"Nader, Bashirian and Parker"
9L2D6Z8B4J9B1W5Q5,Suzuki,SJ,Purple,4,algorithm,33,556,2017-06-01,Klein Inc
0T3U0C4N9O9H2X1S2,Volkswagen,Cabriolet,Aquamarine,8,24 hour,44,557,2018-01-31,"Botsford, Welch and Emard"
9P9J1A2P4F6T4T5S1,Ford,Taurus,Turquoise,4,data-warehouse,10,558,2017-09-22,"Dooley, Reichel and Grant"
0P3M5Q7J4V6T5G0D3,Subaru,Impreza,Maroon,9,4th generation,34,559,2017-07-21,Becker Inc
1J8C6L0L7D7R3I8T8,Audi,S8,Turquoise,3,coherent,27,560,2017-05-17,Hyatt-Ziemann
8U0X9P9Y6D6Q4T4A1,Mercury,Cougar,Teal,6,Implemented,46,561,2017-06-28,"Lubowitz, Reichel and Hane"
8D9R4Q1P2Y5E8B1P2,Ford,Ranger,Red,9,impactful,25,562,2017-11-27,Purdy Inc
5O7B4X4V2O6I6W8L7,Toyota,Sienna,Puce,3,system-worthy,26,563,2017-06-18,Conn LLC
5J7E4L4J9O3V5U0S1,Hummer,H3,Green,7,paradigm,11,564,2018-02-18,"Rempel, Lockman and Dibbert"
2O7U5I3A6C9R6Y2F0,Nissan,Rogue,Maroon,10,eco-centric,18,565,2017-08-01,Yundt-Hickle
2J9I3D4D0A6X9L6Y1,Volkswagen,GTI,Mauv,2,structure,11,566,2017-06-23,Shields Inc
0Q8H5M2R1P3H9A1I6,Mitsubishi,Lancer,Mauv,16,firmware,27,567,2017-11-14,Bosco-Gorczany
1U0U0Z2N0Y0P8S3K3,Pontiac,Bonneville,Red,12,firmware,41,568,2018-02-05,"Stokes, Bogan and Harris"
0W7Z6G2B8V3X2P6O6,Hyundai,Elantra,Puce,9,strategy,50,569,2017-09-18,Toy-Corwin
9R1L6B5S1Z8L5Y2Q7,Maybach,Landaulet,Purple,12,explicit,17,570,2018-03-22,Mraz-Krajcik
5I9C4E9U2E7P2Z6A0,Mercury,Sable,Pink,5,background,15,571,2017-11-05,"White, Anderson and Harris"
1F4P7V7R5W5M7I9I0,Mercury,Tracer,Goldenrod,3,Reverse-engineered,30,572,2017-06-23,Hessel-Senger
8Y3E4J8J8L4S6Z3N3,GMC,3500,Red,2,local area network,31,573,2017-09-02,Lindgren-West
2V0R4M2O6Y3D5B4O1,Geo,Prizm,Orange,12,Self-enabling,32,574,2018-01-09,Ankunding-Gutkowski
7R3P5J9U1D8A2V5U2,Chevrolet,Camaro,Indigo,10,transitional,47,575,2017-05-08,Dickinson-Bauch
2K3T7S9X0B7R9Q1T0,Ford,Torino,Indigo,10,mobile,34,576,2017-07-21,Hauck-Thompson
0S6D5F9I4N5F7K0V6,Subaru,Alcyone SVX,Puce,11,artificial intelligence,40,577,2017-04-01,Parker Inc
1H0G9X4Q5T2W2Q2Q9,MINI,Clubman,Aquamarine,13,challenge,23,578,2018-01-02,O'Reilly-Koss
9J8G1K7I9I3H0J5M1,Mitsubishi,Endeavor,Puce,9,Intuitive,26,579,2017-11-05,"Schinner, Keeling and Sporer"
2W7L8F8Z9A2D2M1S8,Ford,Explorer Sport Trac,Purple,6,Ergonomic,42,580,2017-04-02,Pagac Inc
6Q3A4Q5O7S0P7Z9Y4,Dodge,Dakota,Yellow,7,Networked,48,581,2018-01-29,Fahey-Ritchie
0D0Z9L5G4V8Q9C1V7,Dodge,Ram Van 1500,Pink,10,Right-sized,24,582,2018-01-24,White LLC
0B7D6E6C2B3B6H3P8,Mercedes-Benz,SLK-Class,Red,13,toolset,27,583,2017-12-26,Kuvalis LLC
2W4S7P6X3Z1K0P9R2,Mercedes-Benz,CLK-Class,Teal,8,website,30,584,2017-10-19,"Berge, Baumbach and Herzog"
8V7T5C3B9Y1I3U1Y2,Dodge,Ram Van 1500,Crimson,10,systemic,40,585,2017-11-02,Cole-Schimmel
0S0F3C9D6U7Z7Q7X2,Pontiac,GTO,Khaki,2,forecast,49,586,2017-08-28,Kerluke-Stiedemann
5L5F4Z3Z1Q2N3B5O1,Ford,Edge,Crimson,4,capacity,26,587,2017-11-12,Muller Group
2E3N5W8D1A3X0H1R6,Ford,Probe,Indigo,8,Switchable,27,588,2017-08-08,Hane-Cartwright
4V6K9C1E7H5H8T5H1,Oldsmobile,Bravada,Pink,5,Horizontal,21,589,2017-07-11,Zboncak-Hauck
4P2X2N9N6Y4E6J8N3,MINI,Cooper,Indigo,16,explicit,21,590,2017-04-23,Friesen-Dicki
8F3W4R5C1Y0R8J1A0,Volkswagen,GTI,Indigo,3,knowledge base,10,591,2018-02-07,O'Reilly LLC
1Y4Y9W9R8F3B3Q5V3,Subaru,Impreza,Green,5,info-mediaries,32,592,2017-08-28,Reinger-Doyle
9Y4Q8U0J4M2C3J4P5,Ford,Taurus,Pink,9,methodology,35,593,2017-08-21,Russel-Friesen
5R4V4X4W1B7M9T4E3,Ford,E-Series,Turquoise,9,Optimized,50,594,2018-01-30,Strosin-Zulauf
8X2V9O8C1K4O0P4R7,Chevrolet,Suburban 1500,Blue,2,Multi-layered,19,595,2018-03-08,"Gulgowski, Romaguera and Luettgen"
7Z9H7V0B8G8E1D5B9,Mercedes-Benz,W201,Turquoise,2,demand-driven,26,596,2018-02-15,Murray LLC
1I7A2T9Y9G7U7K8U6,Chevrolet,Suburban 2500,Red,10,Up-sized,30,597,2018-02-04,Feeney-Hickle
8I4A3I5M5C3Q6E9C7,Mercury,Capri,Puce,11,full-range,49,598,2017-03-31,Davis-Koelpin
4I4H7A3B8V1K9N9M4,Toyota,T100 Xtra,Maroon,12,cohesive,32,599,2017-05-06,Eichmann-Graham
1V2W6G1K6L4L8B3G8,Pontiac,Montana,Maroon,3,Enhanced,49,600,2018-03-10,Weber-Cummerata
